pano|pmes|conglome|submuestra|vivienda|hogar|codperso|dominio|estrato|codpanel|p103|p104|p105|p106|p107|p108|p109a|p109b|p109c|p200n|p200i|p200a|p200b|p200bb|p200c|p200d|p200dd|p200e|p200f|p200g|p201|p202|p203|p204|p2041|p2042|p2043|p2044|p2045|p2046|p2047|p2048|p2049|p20410|p20411|p204a|p205a|p206|P206AA|p207a|p207b|p208b1|p208b2|p208b3|p209a|p209b|p209c|p209d|p209e|p209f|p209g|p209t|p209bb|p209cc|p209h|p209ee|p210|p211a|p211b|p212a|p212b|p212c|p212d|p212e|p213|p214|p215|p216|p217|p218|p219|p220|p222|P223A1|P223A2|P223A3|P223A4|P223A5|P223A6|P223A7|P224|P225|ocu200|i211a|i211b|i212a|i212b|i212c|i212d|ingtot|ingprin|resident|fa_def21
2020|12|017557|004|0126|11|01|8|1|19121101|1|1|2||1|44|6|5||1|1|13|12|2020|19|12|2020|19|10|1976|2|1||||||||||||||885|8129|4|4|2|||6|2019|6|6|6|6|6|6|6|42|2|48|2|2|4|0|0|||1212|0|0|||||||||1|0|0|0|0|0|0|1|2|2|1|0|0|||1212|0|1212|0|1|389.290459937959
2020|12|017557|004|0126|11|02|8|1|19121102|2|1|2||2|42|6|5||2|2|13|12|2020|19|12|2020|28|4|1978|1|||||||||||||||961|8129|4|4|2||||2001|10|11|3|11|11|11|11|68|2|56|2|2|4|1200|0|||0|0|0|||||||||1|0|0|0|0|0|0|1|1|1|1|1200|0|||||1200|1200|1|366.172194014743
2020|12|017557|004|0127|11|01|8|1|20121101|1|1|2||1|26|8|3||1|1|13|12|2020|19|12|2020|16|5|1994|1|||||||||||||||356|8610|3|2|2||1|7|2020|0|6|6|6|6|6|6|36|1||1|2|4|2000|0|||||1|||||||||1|0|0|0|0|0|0|1|5|4|1|2000|0|||||2000|2000|1|389.290459937959
2020|12|017557|004|0127|11|02|8|1|20121102|2|1|2||2|29|7|1||2|1|13|12|2020|19|12|2020|17|10|1991|1|||||||||||||||451|4711|3|5|2||||2018|4|4|4|0|4|4|4|24|1||2|2|4|500|40|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|500|40|||||540|540|1|366.172194014743
2020|12|017568|005|0145|11|03|8|1|20121103|3|1|2||1|38|6|5||3|3|6|12|2020|12|12|2020|3|9|1982|1|||||||||||||||982|4210|4|5|1|10|30|7|2020|0|8|8|8|8|8|4|44|1||2|2|4|1000|0|||||1|||||||||6|0|0|0|0|0|0|1|5|4|1|1000|0|||||1000|1000|1|389.290459937959
2020|12|017568|005|0145|11|04|8|1|20121104|3|1|2||2|26|9|2||4|4|6|12|2020|12|12|2020|2|6|1994|1|||||||||||||||244|8521|3|5|1|15|||2017|0|6|6|6|6|6|0|30|1||1|2|4|550|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|550|0|||||550|550|1|366.172194014743
2020|12|017568|005|0146|11|02|8|1|20121102|3|1|2||2|33|8|3||2|2|13|12|2020|19|12|2020|16|3|1987|1|||||||||||||||455|8220|3|5|1|20|2|6|2020|0|9|9|9|9|9|0|45|1||2|2|4|950|150|||||1|||||||||1|0|0|0|0|0|0|1|4|4|1|950|150|||||1100|1100|1|366.172194014743
2020|12|017568|005|0162|11|01|8|1|20121101|1|1|2||1|62|6|5||1|3|6|12|2020|12|12|2020|14|11|1958|1|||||||||||||||772|1410|4|5|1|4|1|11|2020|0|8|8|8|8|8|8|48|1||1|2|2|250|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1083|0|||||1083|1083|1|240.946789040667
2020|12|017568|005|0162|11|03|8|1|20121103|3|1|2||2|27|6|5||3|3|6|12|2020|12|12|2020|8|7|1993|1|||||||||||||||572|4771|3|5|1|15|1|12|2020|0|8|8|8|8|8|8|48|1||1|2|4|1000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1000|0|||||1000|1000|1|366.172194014743
2020|12|017614|004|0077|11|01|8|1|19121101|1|1|2||1|50|6|5||1|1|6|12|2020|12|12|2020|24|6|1970|1|||||||||||||||885|4921|3|5|2||||2010|8|8|8|0|8|8|8|48|1||2|2|4|2000|0|||||1|||||||||1|0|0|0|0|0|0|1|1|4|1|2000|0|||||2000|2000|1|240.946789040667
2020|12|017614|004|0077|11|02|8|1|19121102|2|1|2||2|53|8|5||2|2|6|12|2020|12|12|2020|2|2|1967|1|||||||||||||||242|8521|3|2|2||1|3|2020|0|6|6|6|6|6|0|30|1||1|2|4|1000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1000|0|||||1000|1000|1|233.176171481374
2020|12|017614|004|0078|11|01|8|1|19121101|1|1|2||1|46|7|1||1|1|6|12|2020|12|12|2020|3|12|1974|1|||||||||||||||861|4100|4|5|1|2|13|12|2020|0|9|9|9|9|9|9|54|1||1|2|2|300|0|||||1|||||||||1|0|0|0|0|0|0|1|6|1|1|1299|0|||||1299|1299|1|240.946789040667
2020|12|017614|004|0078|11|02|8|1|19121102|2|1|2||2|43|5|2||2|2|6|12|2020|12|12|2020|20|7|1977|1|||||||||||||||942|5510|4|5|1|6|||2000|8|0|8|8|8|8|8|48|1||2|2|2|350|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1516|0|||||1516|1516|1|366.172194014743
2020|12|017614|004|0080|11|02|8|1|19121102|2|1|2||2|39|5|4||2|1|6|12|2020|12|12|2020|1|10|1981|1|||||||||||||||572|4761|5|5|1|2|1|8|2020|0|8|8|8|8|8|8|48|1||2|2|||||||||||||||||5|0|0|0|0|0|0|1|6|1|1|||||||0|0|1|366.172194014743
2020|12|017618|004|0124|11|01|8|1|20121101|1|1|2||1|31|6|5||1|1|6|12|2020|12|12|2020|12|7|1989|1|||||||||||||||885|4669|4|5|1|30|1|3|2020|0|9|9|9|9|9|9|54|1||2|1|2|270|0|||||1|||||||||1|0|0|0|0|0|0|1|4|1|1|1169|0|||||1169|1169|1|389.290459937959
2020|12|017618|004|0125|11|06|8|1|19121106|5|1|2||1|49|5|3||6|6|6|12|2020|12|12|2020|25|5|1971|1|||||||||||||||961|8411|4|2|2||22|11|2020|0|8|8|8|8|8|8|48|1||1|2|4|1170|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1170|0|||||1170|1170|1|240.946789040667
2020|12|017618|004|0126|11|01|8|1|19121101|1|1|2||1|41|6|5||1|1|6|12|2020|12|12|2020|6|11|1979|1|||||||||||||||983|4100|4|5|1|3|6|12|2020|0|0|12|12|12|12|0|48|1||1|1|2|240|32|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|1039|139|||||1178|1178|1|389.290459937959
2020|12|017618|004|0126|11|03|8|1|19121103|3|1|2||1|19|6|5||3|3|13|12|2020|19|12|2020|13|9|2001|1|||||||||||||||772|8299|4|4|1|40|1|8|2020|0|8|8|8|8|8|5|45|1||1|2|4|1000|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|1000|0|||||1000|1000|1|377.780824903333
2020|12|017680|004|0092|11|01|8|1|19121101|1|1|2||1|49|5|2||1|1|13|12|2020|19|12|2020|14|9|1971|1|||||||||||||||522|5610|4|5|1|4|1|11|2020|0|8|8|8|8|8|0|40|1||1|2|2|200|40|||||1|||||||||1|0|0|0|0|0|0|1|1|1|1|866|173|||||1039|1039|1|186.064464870293
2020|12|017680|004|0092|11|02|8|1|19121102|2|1|2||2|44|3||4|2|2|13|12|2020|19|12|2020|22|12|1976|1|||||||||||||||942|5610|4|5|1|4|1|11|2020|0|0|8|0|8|0|0|16|1||1|2|2|60|16|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|260|69|||||329|329|1|282.766305378052
2020|12|017680|004|0093|11|01|8|1|19121101|1|1|2||1|44|5|4||1|2|13|12|2020|19|12|2020|5|6|1976|1|||||||||||||||942|5610|4|5|1|5|1|12|2019|0|8|8|8|8|8|8|48|1||1|2|2|250|48|||||1|||||||||6|0|0|0|0|0|0|1|1|1|1|1083|208|||||1291|1291|1|300.618744063202
2020|12|017685|004|0065|11|01|8|1|19121101|1|1|2||1|40|5|2||1|2|13|12|2020|19|12|2020|2|2|1980|1|||||||||||||||885|4630|4|5|1|4|1|1|2020|9|9|9|9|9|9|9|63|1||1|2|1|50|11|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|1250|275|||||1525|1525|1|392.534547104109
2020|12|017685|004|0065|11|02|8|1|19121102|2|1|2||2|39|6|5||2|2|13|12|2020|19|12|2020|7|10|1981|1|||||||||||||||574|4782|3|5|1|2|1|10|2020|8|0|0|0|0|8|8|24|1||1|2|2|60|24|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|260|104|||||364|364|1|369.223628964866
2020|12|017721|005|0078|11|03|8|1|20121103|3|1|2||1|15|3||4|3|3|6|12|2020|12|12|2020|11|2|2005|1|||||||||||||||912|5610|3|5|1|2|15|12|2020|0|0|8|8|8|8|0|32|1||1|2|2|100|12|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|433|52|||||485|485|1|377.780824903333
2020|12|017721|005|0078|11|07|8|1|20121107|4|1|2||1|31|8|3||7|7|6|12|2020|12|12|2020|18|10|1989|1|||||||||||||||313|4321|3|5|1|30|||2018|0|8|8|8|8|8|8|48|1||1|1|4|1700|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1700|0|||||1700|1700|1|389.290459937959
2020|12|017721|005|0087|11|01|8|1|20121101|1|1|2||2|28|5|1||1|1|13|12|2020|19|12|2020|23|12|1991|1|||||||||||||||572|4711|5|5|1|2|1|7|2020|5|2|2|2|5|2|5|23|1||1|2|||||||||||||||||6|0|0|0|0|0|0|1|4|4|1|||||||0|0|1|366.172194014743
2020|12|017721|005|0087|11|05|8|1|20121105|6|1|2||2|16|5|3||5|5|13|12|2020|19|12|2020|10|8|2004|1|||||||||||||||572|4711|5|5|1|3|1|7|2020|4|4|4|4|4|4|4|28|1||1|1|||||||||||||||||6|0|0|0|0|0|0|1|5|4|1|||||||0|0|1|406.519730741935
2020|12|017753|004|0101|11|01|8|1|19121101|1|1|2||2|32|6|5||1|1|22|11|2020|28|11|2020|23|12|1987|1|||||||||||||||572|4711|3|5|1|2|15|8|2020|0|8|8|8|8|8|0|40|1||2|2|2|150|50|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|650|217|||||867|867|1|278.150031991969
2020|12|017753|004|0118|11|01|8|1|19121101|1|1|2||1|24|8|3||1|3|22|11|2020|28|11|2020|21|9|1996|1|||||||||||||||313|3312|3|5|1|20|15|8|2020|0|8|8|8|8|8|8|48|1||2|2|2|300|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1299|0|||||1299|1299|1|286.968126609263
2020|12|017753|004|0118|11|02|8|1|20121102|5|1|2||1|52|4|0|6|2|3|22|11|2020|28|11|2020|21|4|1968|1|||||||||||||||983|4100|4|5|1|3|15|10|2020|0|8|8|8|8|8|8|48|1||2|2|2|300|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1299|0|||||1299|1299|1|183.026887828968
2020|12|017785|005|0056|11|01|8|1|20121101|1|1|2||1|52|6|5||1|1|13|12|2020|19|12|2020|9|11|1968|1|||||||||||||||423|1071|3|5|2||||2010|0|8|8|8|8|8|0|40|1||1|2|4|1200|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1200|0|||||1200|1200|1|256.491743172323
2020|12|017785|005|0056|11|02|8|1|20121102|2|1|2||2|38|6|5||2|1|13|12|2020|19|12|2020|14|3|1982|1|||||||||||||||942|5610|4|5|1|3|1|8|2020|8|8|0|8|8|8|8|48|1||1|2|2|180|48|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|779|208|||||987|987|1|389.796206531824
2020|12|017785|005|0062|11|03|8|1|20121103|3|1|2||1|20|6|5||3|1|13|12|2020|19|12|2020|6|8|2000|1|||||||||||||||983|4100|4|5|1|3|1|12|2020|0|8|8|8|8|8|5|45|1||1|2|2|300|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|1299|0|||||1299|1299|1|402.153781348709
2020|12|017785|005|0062|11|04|8|1|20121104|3|1|2||2|18|6|5||4|4|13|12|2020|19|12|2020|19|3|2002|1|||||||||||||||772|1410|4|5|1|30|1|12|2020|12|12|12|12|12|12|0|72|1||1|2|2|300|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|1299|0|||||1299|1299|1|432.746810144641
2020|12|017785|005|0063|11|01|8|1|20121101|1|1|2||1|30|6|5||1|1|13|12|2020|19|12|2020|18|6|1990|1|||||||||||||||945|7730|4|5|1|20|1|4|2020|0|8|8|8|8|8|5|45|1||1|2|2|300|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1299|0|||||1299|1299|1|414.405973482343
2020|12|017785|005|0063|11|02|8|1|20121102|2|1|2||2|29|5|2||2|1|13|12|2020|19|12|2020|16|8|1991|1|||||||||||||||454|8620|3|5|1|2|1|8|2020|0|0|0|6|0|0|8|14|1||1|2|2|70|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|303|0|||||303|303|1|389.796206531824
2020|12|017807|004|0105|11|01|8|1|19121101|1|1|2||1|37|8|3||1|2|29|11|2020|5|12|2020|24|8|1983|1|||||||||||||||313|3312|3|5|1|50||6|2018|0|8|8|8|8|8|5|45|1||1|2|4|1200|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1200|0|||||1200|1200|1|400.740179347899
2020|12|017807|004|0105|11|03|8|1|19121103|3|1|2||1|20|7|1||3|3|29|11|2020|5|12|2020|25|8|2000|1|||||||||||||||455|8220|3|5|2|||3|2019|8|8|8|8|8|8|0|48|1||2|2|4|1400|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1400|0|||||1400|1400|1|388.892025635784
2020|12|017807|004|0106|11|04|8|1|20121104|3|1|2||1|29|9|3||4|4|29|11|2020|5|12|2020|7|5|1991|1|||||||||||||||242|8521|3|5|1|15|1|3|2020|0|0|6|4|4|0|0|14|1||1|1|4|700|0|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|700|0|||||700|700|1|400.740179347899
2020|12|017807|004|0107|11|02|8|1|19121103|3|1|2||1|21|6|5||2|2|29|11|2020|5|12|2020|11|4|1999|1|||||||||||||||783|4321|4|5|1|2|7|12|2020|0|8|8|8|8|8|0|40|1||1|2|2|150|35|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|650|152|||||802|802|1|388.892025635784
2020|12|017809|004|0131|11|01|8|1|19121101|1|1|2||1|56|8|3||1|1|13|12|2020|19|12|2020|31|1|1964|1|||||||||||||||12|8422|3|1|2||||1986|0|8|8|8|8|8|0|40|1||2|2|4|3000|39|||||1|||||||||4|0|0|0|0|0|0|1|6|4|1|3000|39|||||3039|3039|1|127.52236973163
2020|12|017809|004|0131|11|02|8|1|19121102|3|1|2||1|31|10|5||2|1|13|12|2020|19|12|2020|26|12|1988|1|||||||||||||||251|2220|3|5|2||||2015|0|10|8|10|8|10|10|56|2|48|1|2|4|3000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|3000|0|||||3000|3000|1|206.034046616101
2020|12|017809|004|0131|11|03|8|1|19121103|3|1|2||2|23|10|5||3|1|13|12|2020|19|12|2020|12|1|1997|1|||||||||||||||451|6419|3|5|2||2|11|2020|0|9|9|9|9|9|4|49|1||1|2|3|650|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1300|0|||||1300|1300|1|215.152729834162
2020|12|017809|004|0132|11|01|8|1|19121101|1|1|2||1|56|6|5||1|4|13|12|2020|19|12|2020|5|5|1964|1|||||||||||||||443|5310|3|5|2||||1982|6|10|10|10|10|10|10|66|1||1|2|4|1500|0|||1039|0|0|||||||||1|0|0|0|0|0|0|1|6|4|1|1500|0|||1039|0|2539|1500|1|127.52236973163
2020|12|017809|004|0132|11|03|8|1|19121103|3|1|2||1|30|10|5||3|3|20|12|2020|26|12|2020|6|5|1990|1|||||||||||||||423|7210|3|2|2||2|7|2020|0|8|8|8|8|0|0|32|2|40|1|1|4|1800|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1800|0|||||1800|1800|1|206.034046616101
2020|12|017809|004|0132|11|04|8|1|19121104|3|1|2||1|27|10|5||4|4|13|12|2020|19|12|2020|28|12|1992|1|||||||||||||||221|3510|3|5|2||2|5|2019|0|12|12|12|12|12|0|60|1||2|2|4|4200|0|||||1|||||||||3|0|0|0|0|0|0|1|6|4|1|4200|0|||||4200|4200|1|206.034046616101
2020|12|017839|005|0151|11|03|8|1|20121103|3|1|2||2|39|10|6||3|3|22|11|2020|28|11|2020|25|10|1981|1|||||||||||||||268|8412|3|2|2|||11|2019|0|8|8|8|8|8|0|40|1||1|2|4|3000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|3000|0|||||3000|3000|1|368.173134965644
2020|12|017888|004|0131|11|01|8|1|20121101|1|1|2||2|53|6|5||1|1|22|11|2020|28|11|2020|6|9|1967|1|||||||||||||||522|5610|3|5|1|3|1|10|2020|0|8|8|8|8|8|0|40|1||1|1|2|200|40|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|866|173|||||1039|1039|1|234.359806869605
2020|12|017888|004|0133|11|03|8|1|19121103|3|1|2||1|28|7|2||3|3|29|11|2020|5|12|2020|14|5|1992|1|||||||||||||||572|4741|3|5|1|2|1|6|2020|0|9|9|9|9|9|9|54|1||1|1|4|1500|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|1500|0|||||1500|1500|1|391.266553643228
2020|12|017888|004|0134|11|01|8|1|19121101|1|1|2||1|55|8|3||1|1|22|11|2020|28|11|2020|6|2|1965|1|||||||||||||||346|8610|3|2|2||||2005|0|8|8|8|8|8|8|48|1||1|2|4|2400|0|||||1|||||||||1|0|0|0|0|0|0|1|5|4|1|2400|0|||||2400|2400|1|242.169869188082
2020|12|017888|004|0134|11|03|8|1|20121103|3|1|2||1|27|10|5||3|3|29|11|2020|5|12|2020|7|8|1993|1|||||||||||||||419|6419|3|5|2||||2017|0|8|8|8|8|8|0|40|1||1|2|4|1800|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1800|0|||||1800|1800|1|391.266553643228
2020|12|017890|004|0086|11|02|8|1|19121103|3|1|2||2|34|6|5||2|2|6|12|2020|12|12|2020|12|1|1986|1|||||||||||||||244|8510|3|5|2||1|3|2020|0|4|4|4|4|4|0|20|1||1|2|4|600|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|600|0|||||600|600|1|280.800586983216
2020|12|017890|004|0086|11|03|8|1|19121104|4|1|2||1|50|8|3||3|3|6|12|2020|12|12|2020|1|8|1970|1|||||||||||||||423|9411|3|5|1|10|||1992|0|8|8|8|8|8|0|40|1||1|2|4|1800|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1800|0|||||1800|1800|1|184.770992719388
2020|12|017890|004|0086|11|05|8|1|19121102|3|1|2||1|29|9|3||5|5|6|12|2020|12|12|2020|19|7|1991|1|||||||||||||||952|5110|3|5|2||1|11|2020|0|8|8|8|8|8|0|40|2|48|1|2|4|1000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1000|0|||||1000|1000|1|298.528920120963
2020|12|017911|004|0134|11|02|8|1|19121102|3|1|2||2|60|10|5||2|2|13|12|2020|19|12|2020|13|2|1960|1|||||||||||||||246|8522|3|2|2||||1987|0|12|12|12|12|12|12|72|1||1|2|4|3000|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|3000|0|||||3000|3000|1|233.176171481374
2020|12|017936|005|0206|11|01|8|1|20121101|1|1|2||1|25|9|2||1|1|22|11|2020|28|11|2020|26|3|1995|1|||||||||||||||455|8220|3|5|2||||2017|8|8|8|8|8|8|0|48|1||1|2|4|1600|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1600|0|||||1600|1600|1|397.27590527002
2020|12|017981|004|0121|11|01|8|1|19121101|1|1|2||2|39|6|5||1|1|22|11|2020|28|11|2020|5|7|1981|1|||||||||||||||572|4711|3|5|1|2|1|10|2019|14|14|14|14|14|14|14|98|1||1|2|2|140|15|||||1|||||||||6|0|0|0|0|0|0|1|6|4|1|606|65|||||671|671|1|366.172194014743
2020|12|017981|004|0122|11|01|8|1|19121101|1|1|2||1|35|6|5||1|2|22|11|2020|28|11|2020|12|10|1985|1|||||||||||||||984|1312|4|5|2||||2016|0|8|8|8|8|8|8|48|1||1|2|2|350|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1516|0|||||1516|1516|1|389.290459937959
2020|12|017981|004|0123|11|02|8|1|19121102|3|1|2||1|20|6|5||2|2|22|11|2020|28|11|2020|14|8|2000|1|||||||||||||||942|5610|4|5|1|17|11|11|2020|8|8|8|0|8|8|8|48|1||1|2|2|230|42|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|996|182|||||1178|1178|1|377.780824903333
2020|12|017981|004|0124|11|02|8|1|19121102|3|1|2||2|26|10|6||2|2|22|11|2020|28|11|2020|5|11|1994|1|||||||||||||||268|4659|3|5|1|86|1|7|2019|0|8|8|8|8|8|0|40|1||2|2|4|3000|0|||||1|||||||||3|0|0|0|0|0|0|1|6|4|1|3000|0|||||3000|3000|1|366.172194014743
2020|12|017987|004|0065|11|02|8|1|19121102|3|1|2||1|49|10|5||2|1|29|11|2020|5|12|2020|15|5|1971|1|||||||||||||||785|2511|4|5|1|20|1|7|2020|0|8|8|8|8|8|8|48|1||2|2|2|400|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1732|0|||||1732|1732|1|240.946789040667
2020|12|017987|004|0066|11|02|8|1|19121102|2|1|2||2|41|7|2||2|2|6|12|2020|12|12|2020|2|6|1979|1|||||||||||||||572|4752|5|5|1|2|||2005|0|6|6|6|6|6|6|36|1||1|2|||||||||||||||||5|0|0|0|0|0|0|1|6|4|1|||||||0|0|1|366.172194014743
2020|12|017987|004|0067|11|03|8|1|19121103|3|1|2||2|45|7|3||3|3|6|12|2020|12|12|2020|7|10|1975|2|1||||||||||||||942|8530|4|2|2||||2010|0|0|0|0|0|0|0|0|2|48|1|2|4|1200|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1200|0|||||1200|1200|1|233.176171481374
2020|12|017990|004|0114|11|01|8|1|19121101|1|1|2||1|73|4|5||1|1|6|12|2020|12|12|2020|5|2|1947|2|1||||||||||||||945|8411|4|2|2||||2010|0|0|0|0|0|0|0|0|2|48|2|2|4|850|0|||||1|||||||||6|0|0|0|0|0|0|1|1|1|1|850|0|||||850|850|1|249.032251760153
2020|12|017990|004|0117|11|03|8|1|19121103|3|1|2||1|40|6|5||3|5|6|12|2020|12|12|2020|29|10|1980|2|2|2||2|2|2|2|2|2|2|2|1|2|2|945|4630|5|5|1|4|1|10|2020|0|4|4|4|0|0|4|16|1||1|1|||||||||||||||||6|0|0|0|0|0|0|1|1|4|1|||||||0|0|1|402.353898190911
2020|12|017990|004|0117|11|04|8|1|19121104|3|1|2||1|37|6|5||4|5|6|12|2020|12|12|2020|1|6|1983|1|||||||||||||||987|4663|4|5|1|14|1|10|2020|0|0|0|0|4|4|4|12|1||1|1|2|90|0|||||1|||||||||6|0|0|0|0|0|0|1|1|4|1|390|0|||||390|390|1|402.353898190911
2020|12|017990|004|0117|11|05|8|1|19121105|3|1|2||2|34|6|5||5|5|6|12|2020|12|12|2020|14|9|1986|1|||||||||||||||571|4630|3|5|1|4|9|12|2020|0|0|0|4|4|4|4|16|1||1|1|2|100|0|||||1|||||||||6|0|0|0|0|0|0|1|1|4|1|433|0|||||433|433|1|378.459851532017
2020|12|017990|004|0117|11|06|8|1|19121106|3|1|2||2|26|6|5||6|6|6|12|2020|12|12|2020|21|6|1994|1|||||||||||||||945|4630|4|5|1|4|30|11|2019|0|3|3|3|0|3|3|15|1||2|2|2|150|0|||||1|||||||||6|0|0|0|0|0|0|1|1|4|1|650|0|||||650|650|1|378.459851532017
2020|12|017990|004|0117|11|07|8|1|19121107|3|1|2||1|36|6|5||7|5|6|12|2020|12|12|2020|4|1|1984|1|||||||||||||||987|4663|4|5|1|14|1|10|2020|0|0|0|0|4|4|4|12|1||1|1|2|90|0|||||1|||||||||6|0|0|0|0|0|0|1|1|4|1|390|0|||||390|390|1|402.353898190911
2020|12|018037|005|0128|11|01|8|1|20121101|1|1|2||1|50|6|5||1|1|22|11|2020|28|11|2020|99|99|1970|1|||||||||||||||861|4100|4|5|1|50||2|2020|0|8|8|8|8|8|8|48|1||1|2|2|400|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1732|0|||||1732|1732|1|291.788772049248
2020|12|018037|005|0130|11|02|8|1|20121102|2|1|2||1|43|6|5||2|2|22|11|2020|28|11|2020|18|2|1977|1|||||||||||||||945|4630|4|5|1|50|||2012|0|8|8|8|8|8|8|48|1||1|2|4|930|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|930|0|||||930|930|1|471.434318456978
2020|12|018052|005|0199|11|03|8|1|20121103|3|1|2||1|20|8|3||3|4|13|12|2020|19|12|2020|2|6|2000|1|||||||||||||||942|7830|4|4|2|||8|2019|8|8|8|8|8|0|8|48|1||2|2|4|1100|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1100|0|||||1100|1100|1|377.780824903333
2020|12|018052|005|0200|11|02|8|1|20121102|2|1|2||2|47|6|5||2|2|13|12|2020|19|12|2020|22|3|1973|1|||||||||||||||942|7830|4|4|2||||2018|8|8|8|8|8|8|8|56|2|48|1|2|4|1210|0|||0|0|0|||||||||1|0|0|0|0|0|0|1|8|4|1|1210|0|||||1210|1210|1|233.176171481374
2020|12|018052|005|0200|11|03|8|1|20121103|3|1|2||1|18|7|1||3|2|13|12|2020|19|12|2020|2|2|2002|1|||||||||||||||942|7830|4|4|2||19|11|2020|8|8|8|8|8|8|8|56|1||1|1|4|930|0|||0|0|0|||||||||1|0|0|0|0|0|0|1|6|5|1|930|0|||||930|930|1|377.780824903333
2020|12|018052|005|0201|11|01|8|1|20121101|1|1|2||1|75|6|5||1|1|13|12|2020|19|12|2020|20|9|1945|2|2|2||2|2|2|2|2|2|2|2|1|2|2|942|5629|5|5|1|3|1|8|2020|0|1|1|1|1|1|1|6|1||1|2|||||||||2|6|2|||||1|1|0|0|0|0|0|0|1|6|4|4|||||||||1|240.946789040667
2020|12|018052|005|0201|11|04|8|1|20121104|10|1|2||2|22|7|2||4|4|13|12|2020|19|12|2020|25|3|1998|1|||||||||||||||451|4630|3|5|2||21|11|2020|8|8|0|8|8|8|8|48|1||1|1|4|950|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|950|0|||||950|950|1|406.519730741935
2020|12|018082|004|0115|11|02|8|1|20121102|3|1|2||1|27|8|3||2|2|29|11|2020|5|12|2020|20|3|1993|1|||||||||||||||322|5911|3|5|1|5|1|6|2020|0|8|8|8|8|8|0|40|1||1|1|4|930|0|||||1|||||||||5|0|0|0|0|0|0|1|6|4|1|930|0|||||930|930|1|401.01607620115
2020|12|018082|004|0116|11|01|8|1|19121101|1|1|2||1|26|10|5||1|1|29|11|2020|5|12|2020|4|2|1994|1|||||||||||||||419|6419|3|5|2||1|9|2020|0|9|0|0|0|0|0|9|2|45|1|1|4|1200|0|||||1|||||||||1|0|0|0|0|0|0|1|6|4|1|1200|0|||||1200|1200|1|401.01607620115
2020|12|018082|004|0116|11|02|8|1|19121102|2|1|2||2|26|9|4||2|2|29|11|2020|5|12|2020|1|11|1994|1|||||||||||||||451|1071|3|5|1|5|1|8|2020|1|11|6|11|11|11|7|58|1||2|2|1|30|0|||500|0|0|||||||||5|0|0|0|0|0|0|1|6|4|1|750|0|||500|0|1250|750|1|377.201476966995
